일자,요일,1종(일반),1종(경차),2종,3종,4종,5종,합계
2025-10-02,목,4960987,252540,161143,193349,184470,259360,6011849
2025-10-03,금,4557137,185073,84614,108777,86592,103533,5125726
2025-10-04,토,5325436,188635,62433,82991,51303,60590,5771388
2025-10-05,일,5408962,182077,25065,58335,21029,18547,5714015
2025-10-06,월,6210867,185384,15891,46392,13013,9106,6480653
2025-10-07,화,5657395,177478,29140,57558,23103,22199,5966873
2025-10-08,수,5201305,194601,48550,74393,41584,39315,5599748
2025-10-09,목,4494949,181558,64071,88461,60639,63026,4952704
2025-10-10,금,4291009,209270,116639,146120,127032,181583,5071653
2025-10-11,토,4354306,191178,67348,103249,75023,103511,4894615
2025-10-12,일,3890709,171645,36713,78298,40752,34491,4252608
